City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,warrington,53.3925,-2.5802,285.82,93,75,4.12,GB,1679342214
268,manati,18.4275,-66.4921,303.9,72,33,7.04,PR,1679342215
269,wilmington,34.2257,-77.9447,282.01,47,100,5.14,US,1679342022
270,poronaysk,49.2167,143.1167,265.16,97,57,0.69,RU,1679342215
271,natal,-5.795,-35.2094,301.51,74,40,6.69,BR,1679342078
272,puerto escondido,15.85,-97.0667,303.35,50,13,3.69,MX,1679342216
273,agadez,19.75,10.25,303.44,16,97,5.43,NE,1679342216
274,pitimbu,-7.4706,-34.8086,302.48,73,39,5.04,BR,1679342217
275,victoria,22.2855,114.1577,296.59,86,93,1.79,HK,1679342015
276,pangnirtung,66.1451,-65.7125,253.15,77,20,2.57,CA,1679342217
277,vardo,70.3705,31.1107,269.14,80,75,13.89,NO,1679342218
278,vila franca do campo,37.7167,-25.4333,289.38,75,49,2.08,PT,1679342218
279,shimanovsk,52.0,127.7,267.79,97,22,2.08,RU,1679342219
280,mokhsogollokh,61.4681,128.9203,238.4,97,64,2.08,RU,1679342219
281,nago,26.5881,127.9761,294.62,89,95,5.1,JP,1679342220
282,sarapul,56.4763,53.7978,273.87,96,100,4.39,RU,1679342220
283,ridgecrest,35.6225,-117.6709,291.31,39,75,7.72,US,1679342220
284,vestmanna,62.1564,-7.1664,275.66,75,75,9.26,FO,1679342221
285,trinidad,-14.8333,-64.9,299.14,89,75,2.57,BO,1679342221
286,ginda,30.6945,78.4932,282.77,85,100,0.69,IN,1679342222
287,henties bay,-22.116,14.2845,290.64,86,1,5.71,NA,1679342222
288,madang,-5.2246,145.7966,297.61,91,29,1.2,PG,1679342223
289,del rio,29.3627,-100.8968,284.21,76,100,7.72,US,1679342223
290,alyangula,-13.8483,136.4192,300.27,84,54,5.12,AU,1679342224
291,straumen,63.8709,11.2999,275.15,86,100,2.76,NO,1679342224
292,camapua,-19.5314,-54.0439,297.61,86,80,2.46,BR,1679342225
293,changji,44.0167,87.3167,270.59,100,75,2.0,CN,1679342225
